amps,cell,dur,expt,freqs,rep,spikes
40,7,25,tuning_curve,11313.7,3,-37.2000000000412
40,7,25,tuning_curve,45254.8,3,98.9666666667404
40,7,25,tuning_curve,64000,3,-44.7666666667033
55,7,25,tuning_curve,-1,3,14.6333333333928
55,7,25,tuning_curve,-1,3,114.300000000014
55,7,25,tuning_curve,2000,3,-47.8666666667209
55,7,25,tuning_curve,2000,3,64.5999999999844
55,7,25,tuning_curve,2828.43,3,51.6666666666765
55,7,25,tuning_curve,2828.43,3,142.300000000034
55,7,25,tuning_curve,4000,3,44.433333333302
55,7,25,tuning_curve,4000,3,105.366666666725
55,7,25,tuning_curve,5656.85,3,120.066666666673
55,7,25,tuning_curve,8000,3,-22.6333333333173
55,7,25,tuning_curve,8000,3,19.5666666666625
55,7,25,tuning_curve,8000,3,103.833333333398
55,7,25,tuning_curve,11313.7,3,-43.266666666625
55,7,25,tuning_curve,11313.7,3,-14.2999999999915
55,7,25,tuning_curve,16000,3,69.5333333333679
55,7,25,tuning_curve,16000,3,96.966666666674
55,7,25,tuning_curve,32000,3,-43.7666666666132
55,7,25,tuning_curve,32000,3,94.566666666708
55,7,25,tuning_curve,45254.8,3,-25.4000000000474
55,7,25,tuning_curve,45254.8,3,13.5999999999399
55,7,25,tuning_curve,45254.8,3,106.499999999926
55,7,25,tuning_curve,64000,3,14.0666666665652
55,7,25,tuning_curve,64000,3,107.133333333252
70,7,25,tuning_curve,-1,3,64.5999999999844
70,7,25,tuning_curve,-1,3,94.2666666666696
70,7,25,tuning_curve,1414.21,3,-13.0000000000905
70,7,25,tuning_curve,1414.21,3,7.06666666661704
70,7,25,tuning_curve,2000,3,55.9333333333711
70,7,25,tuning_curve,2000,3,130.733333333353
70,7,25,tuning_curve,4000,3,89.466666666624
70,7,25,tuning_curve,5656.85,3,80.1333333333218
70,7,25,tuning_curve,8000,3,3.43333333336204
70,7,25,tuning_curve,11313.7,3,-17.3333333332835
70,7,25,tuning_curve,11313.7,3,54.4666666666558
70,7,25,tuning_curve,11313.7,3,57.0000000000732
70,7,25,tuning_curve,16000,3,85.4333333333557
70,7,25,tuning_curve,16000,3,143.13333333331
70,7,25,tuning_curve,22627.4,3,124.266666666642
70,7,25,tuning_curve,32000,3,-14.500000000055
